jband,k,e
27,0.50876,-8.56012
27,0.53534,-8.55194
27,0.56191,-8.56291
27,0.58849,-8.55824
27,0.61505,-8.55710
27,0.64162,-8.54165
27,0.66820,-8.53777
27,0.69477,-8.53572
27,0.72134,-8.52987
27,0.74791,-8.52393
27,0.77449,-8.52091
27,0.80106,-8.53763
27,0.82763,-8.54479
27,0.85393,-8.53369
27,0.88024,-8.53340
27,0.90654,-8.54486
27,0.93285,-8.54332
27,0.95915,-8.55632
27,0.98546,-8.56261
27,1.01176,-8.56684
27,1.03807,-8.57895
27,1.06437,-8.57212
27,1.09068,-8.56231
27,1.11726,-8.57025
27,1.14382,-8.54915
27,1.17040,-8.55119
27,1.19697,-8.55275
27,1.22355,-8.54777
27,1.25012,-8.55460
27,1.27668,-8.55897
27,1.30326,-8.57047
27,1.32983,-8.57529
27,1.35641,-8.58258
27,1.38298,-8.58317
27,1.40955,-8.58309
27,1.43612,-8.57183
27,1.46269,-8.57906
27,1.48899,-8.57328
27,1.51530,-8.58702
28,1.54161,-8.59399
28,1.56791,-8.60175
28,1.59422,-8.58766
28,1.62052,-8.54432
28,1.64683,-8.52980
28,1.67313,-8.51071
28,1.69944,-8.53414
28,1.72574,-8.54479
28,0.00000,-5.85996
28,0.02680,-5.80880
28,0.05360,-5.81408
28,0.08040,-5.75165
28,0.10720,-5.65297
28,0.13401,-5.58819
28,0.16081,-5.80037
28,0.18761,-5.84674
28,0.21440,-5.85782
28,0.24120,-5.85538
28,0.26800,-5.93538
28,0.29481,-6.08158
28,0.32161,-6.21327
28,0.34841,-6.32627
28,0.37521,-6.41718
28,0.40201,-6.48352
28,0.42881,-6.52364
28,0.45562,-6.53716
28,0.48219,-6.52381
28,0.50876,-6.48423
28,0.53534,-6.41904
28,0.56191,-6.33008
28,0.58849,-6.22102
28,0.61505,-6.09728
28,0.64162,-5.96512
28,0.66820,-5.88049
28,0.69477,-5.88932
28,0.72134,-5.88957
28,0.74791,-5.89401
28,0.77449,-5.90015
28,0.80106,-5.90526
28,0.82763,-5.90799
28,0.85393,-5.90256
28,0.88024,-5.89715
28,0.90654,-5.89122
28,0.93285,-5.85962
28,0.95915,-5.85501
28,0.98546,-5.84202
28,1.01176,-5.81449
28,1.03807,-5.85917
28,1.06437,-5.89350
28,1.09068,-5.90476
28,1.11726,-5.89311
28,1.14382,-5.85782
28,1.17040,-5.81197
28,1.19697,-5.82975
28,1.22355,-5.82585
28,1.25012,-5.83398
28,1.27668,-5.83067
28,1.30326,-5.77354
28,1.32983,-5.50640
28,1.35641,-5.69190
28,1.38298,-5.77832
28,1.40955,-5.81333
28,1.43612,-5.79793
28,1.46269,-5.85996
28,1.48899,-5.85265
29,1.51530,-5.77792
29,1.54161,-5.76756
29,1.56791,-5.70005
29,1.59422,-5.50025
29,1.62052,-5.66030
29,1.64683,-5.79274
29,1.67313,-5.86179
29,1.69944,-5.89674
29,1.72574,-5.90799
29,0.00000,-4.71311
29,0.02680,-4.70911
29,0.05360,-4.78602
29,0.08040,-4.94131
29,0.10720,-5.17804
29,0.13401,-5.39969
29,0.16081,-5.34885
29,0.18761,-5.47137
29,0.21440,-5.62229
29,0.24120,-5.78008
29,0.26800,-5.85108
29,0.29481,-5.82081
29,0.32161,-5.80974
29,0.34841,-5.80734
29,0.37521,-5.81069
29,0.40201,-5.81491
29,0.42881,-5.76075
29,0.45562,-5.73092
29,0.48219,-5.78003
29,0.50876,-5.81870
29,0.53534,-5.80432
29,0.56191,-5.80596
29,0.58849,-5.82923
29,0.61505,-5.84409
29,0.64162,-5.84148
29,0.66820,-5.83055
29,0.69477,-5.69903
29,0.72134,-5.57557
29,0.74791,-5.46637
29,0.77449,-5.37904
29,0.80106,-5.32204
29,0.82763,-5.30217
29,0.85393,-5.32136
29,0.88024,-5.37472
29,0.90654,-5.45158
29,0.93285,-5.54095
29,0.95915,-5.63456
29,0.98546,-5.72424
29,1.01176,-5.80157
29,1.03807,-5.81566
29,1.06437,-5.81539
29,1.09068,-5.79453
29,1.11726,-5.81417
29,1.14382,-5.78347
29,1.17040,-5.79881
29,1.19697,-5.71731
29,1.22355,-5.61666
29,1.25012,-5.50355
29,1.27668,-5.39121
29,1.30326,-5.32306
29,1.32983,-5.44145
29,1.35641,-5.12569
29,1.38298,-4.91637
29,1.40955,-4.78250
29,1.43612,-4.71154
29,1.46269,-4.71311
30,1.48899,-4.70728
30,1.51530,-4.79241
30,1.54161,-4.90651
30,1.56791,-5.07861
30,1.59422,-5.37283
30,1.62052,-5.31596
30,1.64683,-5.29218
30,1.67313,-5.28556
30,1.69944,-5.29773
30,1.72574,-5.30217
30,0.00000,-4.70946
30,0.02680,-4.70283
30,0.05360,-4.71272
30,0.08040,-4.71555
30,0.10720,-4.72635
30,0.13401,-4.73262
30,0.16081,-4.73631
30,0.18761,-4.73971
30,0.21440,-4.73760
30,0.24120,-4.73782
30,0.26800,-4.73191
30,0.29481,-4.71658
30,0.32161,-4.70607
30,0.34841,-4.70139
30,0.37521,-4.69606
30,0.40201,-4.69629
30,0.42881,-4.68049
30,0.45562,-4.66902
30,0.48219,-4.68192
30,0.50876,-4.69578
30,0.53534,-4.69408
30,0.56191,-4.70236
30,0.58849,-4.71263
30,0.61505,-4.71872
30,0.64162,-4.71603
30,0.66820,-4.72718
30,0.69477,-4.72816
30,0.72134,-4.71518
30,0.74791,-4.71233
30,0.77449,-4.71528
30,0.80106,-4.72683
30,0.82763,-4.73136
30,0.85393,-4.72454
30,0.88024,-4.71901
30,0.90654,-4.71511
30,0.93285,-4.71992
30,0.95915,-4.73340
30,0.98546,-4.73908
30,1.01176,-4.74764
30,1.03807,-4.75638
30,1.06437,-4.75610
30,1.09068,-4.75012
30,1.11726,-4.75431
30,1.14382,-4.74795
30,1.17040,-4.74865
30,1.19697,-4.75851
30,1.22355,-4.75472
30,1.25012,-4.74915
30,1.27668,-4.74634
30,1.30326,-4.74486
30,1.32983,-4.74204
30,1.35641,-4.73662
30,1.38298,-4.72281
30,1.40955,-4.71502
30,1.43612,-4.70400
31,1.46269,-4.70946
