k,e
0.50876,-3.93757
0.53534,-3.89078
0.56191,-3.82924
0.58849,-3.75624
0.61505,-3.54767
0.64162,-3.60329
0.66820,-3.90071
0.69477,-4.17383
0.72134,-4.39978
0.74791,-4.58826
0.77449,-4.74387
0.80106,-4.85517
0.82763,-4.89709
0.85393,-4.89161
0.88024,-4.87548
0.90654,-4.84956
0.93285,-4.81564
0.95915,-4.77657
0.98546,-4.73611
1.01176,-4.69829
1.03807,-4.66693
1.06437,-4.64584
1.09068,-4.63836
1.11726,-4.64583
1.14382,-4.66745
1.17040,-4.70108
1.19697,-4.74382
1.22355,-4.79269
1.25012,-4.84502
1.27668,-4.89818
1.30326,-4.94954
1.32983,-4.99666
1.35641,-5.03752
1.38298,-5.07045
1.40955,-5.09487
1.43612,-5.11025
1.46269,-5.12115
1.48899,-5.11066
1.51530,-5.09668
1.54161,-5.07451
1.56791,-5.04572
1.59422,-5.01260
1.62052,-4.97851
1.64683,-4.94692
1.67313,-4.92080
1.69944,-4.90330
1.72574,-4.89709
0.00000,-5.11312
0.02680,-5.08677
0.05360,-5.00917
0.08040,-4.90553
0.10720,-4.77493
0.13401,-4.61536
0.16081,-4.42592
0.18761,-4.20545
0.21440,-3.95525
0.24120,-3.67950
0.26800,-3.44303
0.29481,-3.43871
0.32161,-3.43059
0.34841,-3.61220
0.37521,-3.65535
0.40201,-3.67636
0.42881,-3.68624
0.45562,-3.68833
0.48219,-3.68538
0.50876,-3.67473
0.53534,-3.65474
0.56191,-3.61180
0.58849,-3.56332
0.61505,-3.48583
0.64162,-3.57605
0.66820,-3.58973
0.69477,-3.88622
0.72134,-4.15585
0.74791,-4.38739
0.77449,-4.56903
0.80106,-4.68707
0.82763,-4.72860
0.85393,-4.65506
0.88024,-4.46677
0.90654,-4.20492
0.93285,-3.88033
0.95915,-3.57722
0.98546,-3.65815
1.01176,-3.73088
1.03807,-3.78087
1.06437,-3.80897
1.09068,-3.81766
1.11726,-3.80828
1.14382,-3.77730
1.17040,-3.71270
1.19697,-3.48081
1.22355,-3.47752
1.25012,-3.67467
1.27668,-3.97388
1.30326,-4.25535
1.32983,-4.49798
1.35641,-4.69991
1.38298,-4.86387
1.40955,-4.99172
1.43612,-5.08192
1.46269,-5.11312
1.48899,-5.04872
1.51530,-5.04070
1.54161,-5.00976
1.56791,-4.96572
1.59422,-4.91438
1.62052,-4.86007
1.64683,-4.80913
1.67313,-4.76649
1.69944,-4.73842
1.72574,-4.72860
0.00000,-5.06618
0.02680,-5.02223
0.05360,-4.88644
0.08040,-4.67384
0.10720,-4.41897
0.13401,-4.14546
0.16081,-3.87013
0.18761,-3.61814
0.21440,-3.43601
0.24120,-3.38402
0.26800,-3.39010
0.29481,-3.25322
0.32161,-3.12425
0.34841,-3.50861
0.37521,-3.62233
0.40201,-3.66024
0.42881,-3.68042
0.45562,-3.68813
0.48219,-3.67922
0.50876,-3.65088
0.53534,-3.59794
0.56191,-3.47705
0.58849,-3.25891
0.61505,-3.32476
0.64162,-3.49479
0.66820,-3.53522
0.69477,-3.47151
0.72134,-3.40932
0.74791,-3.34557
0.77449,-3.28065
0.80106,-3.22345
0.82763,-3.19795
0.85393,-3.21857
0.88024,-3.28012
0.90654,-3.37354
0.93285,-3.47826
0.95915,-3.50233
0.98546,-3.15679
1.01176,-3.09461
1.03807,-3.05161
1.06437,-3.11738
1.09068,-3.12122
1.11726,-3.11412
1.14382,-3.07410
1.17040,-3.07011
1.19697,-3.32609
1.22355,-3.40139
1.25012,-3.39084
1.27668,-3.49430
1.30326,-3.74602
1.32983,-4.04527
1.35641,-4.34261
1.38298,-4.61850
1.40955,-4.85270
1.43612,-5.01162
1.46269,-5.06618
1.48899,-5.04658
1.51530,-4.82172
1.54161,-4.52726
1.56791,-4.17642
1.59422,-3.78619
1.62052,-3.43955
1.64683,-3.24559
1.67313,-3.19808
1.69944,-3.19909
1.72574,-3.19795
0.00000,-2.65552
0.02680,-2.65970
0.05360,-2.67057
0.08040,-2.67423
0.10720,-2.74698
0.13401,-2.80677
0.16081,-2.87789
0.18761,-2.96296
0.21440,-3.06106
0.24120,-3.14388
0.26800,-3.21370
0.29481,-3.13208
0.32161,-3.10275
0.34841,-2.49827
0.37521,-2.24827
0.40201,-2.12269
0.42881,-2.06071
0.45562,-2.04375
0.48219,-2.05556
0.50876,-2.10880
0.53534,-2.26878
0.56191,-2.55735
0.58849,-2.87988
0.61505,-3.21736
0.64162,-3.30137
0.66820,-3.42708
0.69477,-3.34513
0.72134,-3.25299
0.74791,-3.15547
0.77449,-3.05748
0.80106,-2.96138
0.82763,-2.94079
0.85393,-2.96584
0.88024,-3.01735
0.90654,-3.04756
0.93285,-3.06217
0.95915,-3.07463
0.98546,-3.08739
1.01176,-2.94866
1.03807,-2.95202
1.06437,-2.92863
1.09068,-2.95128
1.11726,-2.93049
1.14382,-2.92421
1.17040,-2.94267
1.19697,-2.92095
1.22355,-2.92770
1.25012,-2.96823
1.27668,-2.96380
1.30326,-2.90751
1.32983,-2.83108
1.35641,-2.76192
1.38298,-2.71418
1.40955,-2.68318
1.43612,-2.66295
1.46269,-2.65552
1.48899,-2.65737
1.51530,-2.66215
1.54161,-2.66632
1.56791,-2.69812
1.59422,-2.74814
1.62052,-2.80161
1.64683,-2.85260
1.67313,-2.89693
1.69944,-2.92886
1.72574,-2.94079
0.00000,-2.59538
0.02680,-2.58602
0.05360,-2.59634
0.08040,-2.65950
0.10720,-2.68973
0.13401,-2.76786
0.16081,-2.86241
0.18761,-2.96042
0.21440,-3.04891
0.24120,-3.13699
0.26800,-3.18511
0.29481,-3.09875
0.32161,-2.70418
0.34841,-2.33266
0.37521,-2.12565
0.40201,-1.99837
0.42881,-1.96129
0.45562,-1.95416
0.48219,-1.96016
0.50876,-2.00447
0.53534,-2.07846
0.56191,-2.20805
0.58849,-2.51427
0.61505,-2.78718
0.64162,-2.83230
0.66820,-2.77000
0.69477,-2.66938
0.72134,-2.57830
0.74791,-2.69724
0.77449,-2.80830
0.80106,-2.90600
0.82763,-2.92226
0.85393,-2.92535
0.88024,-2.91183
0.90654,-2.89476
0.93285,-2.87518
0.95915,-2.85382
0.98546,-2.83342
1.01176,-2.81609
1.03807,-2.80328
1.06437,-2.79512
1.09068,-2.79226
1.11726,-2.78655
1.14382,-2.77020
1.17040,-2.74882
1.19697,-2.72620
1.22355,-2.70322
1.25012,-2.68125
1.27668,-2.65980
1.30326,-2.63841
1.32983,-2.61854
1.35641,-2.60176
1.38298,-2.58393
1.40955,-2.56985
1.43612,-2.59152
1.46269,-2.59538
1.48899,-2.59756
1.51530,-2.59759
1.54161,-2.63079
1.56791,-2.68326
1.59422,-2.73015
1.62052,-2.78129
1.64683,-2.83182
1.67313,-2.87671
1.69944,-2.90966
1.72574,-2.92226
0.00000,-2.56623
0.02680,-2.57250
0.05360,-2.55825
0.08040,-2.48778
0.10720,-2.47657
0.13401,-2.42965
0.16081,-2.37332
0.18761,-2.31257
0.21440,-2.25021
0.24120,-2.18973
0.26800,-2.13493
0.29481,-2.08445
0.32161,-2.05236
0.34841,-2.02427
0.37521,-2.00038
0.40201,-1.97891
0.42881,-1.93562
0.45562,-1.91864
0.48219,-1.93954
0.50876,-1.97751
0.53534,-2.00525
0.56191,-2.04420
0.58849,-2.09619
0.61505,-2.16326
0.64162,-2.24687
0.66820,-2.34721
0.69477,-2.46037
0.72134,-2.56211
0.74791,-2.46345
0.77449,-2.52225
0.80106,-2.60686
0.82763,-2.64645
0.85393,-2.59187
0.88024,-2.47315
0.90654,-2.36163
0.93285,-2.42114
0.95915,-2.48475
0.98546,-2.54073
1.01176,-2.57453
1.03807,-2.55232
1.06437,-2.43435
1.09068,-2.34224
1.11726,-2.50334
1.14382,-2.64308
1.17040,-2.64658
1.19697,-2.61502
1.22355,-2.56980
1.25012,-2.51408
1.27668,-2.48051
1.30326,-2.50648
1.32983,-2.52374
1.35641,-2.52659
1.38298,-2.53340
1.40955,-2.56194
1.43612,-2.56101
1.46269,-2.56623
1.48899,-2.56709
1.51530,-2.57885
1.54161,-2.57620
1.56791,-2.55346
1.59422,-2.54234
1.62052,-2.54506
1.64683,-2.57705
1.67313,-2.61958
1.69944,-2.64175
1.72574,-2.64645
0.00000,-2.31894
0.02680,-2.32211
0.05360,-2.33263
0.08040,-2.37787
0.10720,-2.35918
0.13401,-2.36474
0.16081,-2.34998
0.18761,-2.27698
0.21440,-2.11300
0.24120,-2.06297
0.26800,-2.00998
0.29481,-1.94885
0.32161,-1.89634
0.34841,-1.85086
0.37521,-1.80342
0.40201,-1.76550
0.42881,-1.74134
0.45562,-1.73195
0.48219,-1.74497
0.50876,-1.78073
0.53534,-1.82651
0.56191,-1.87531
0.58849,-1.92506
0.61505,-1.97631
0.64162,-2.04480
0.66820,-2.12231
0.69477,-2.21727
0.72134,-2.32140
0.74791,-2.42272
0.77449,-2.38649
0.80106,-2.34660
0.82763,-2.33661
0.85393,-2.33847
0.88024,-2.34360
0.90654,-2.34669
0.93285,-2.34460
0.95915,-2.33309
0.98546,-2.30412
1.01176,-2.25738
1.03807,-2.22363
1.06437,-2.26986
1.09068,-2.32941
1.11726,-2.20958
1.14382,-2.16335
1.17040,-2.24767
1.19697,-2.33204
1.22355,-2.39618
1.25012,-2.44440
1.27668,-2.24360
1.30326,-2.40179
1.32983,-2.35151
1.35641,-2.30532
1.38298,-2.33177
1.40955,-2.32909
1.43612,-2.32152
1.46269,-2.31894
1.48899,-2.32597
1.51530,-2.34613
1.54161,-2.37247
1.56791,-2.39131
1.59422,-2.39452
1.62052,-2.37781
1.64683,-2.35178
1.67313,-2.33997
1.69944,-2.33754
1.72574,-2.33661
0.00000,-2.22133
0.02680,-2.22432
0.05360,-2.23186
0.08040,-2.23809
0.10720,-2.23736
0.13401,-2.22390
0.16081,-2.19659
0.18761,-2.15854
0.21440,-2.08623
0.24120,-1.98867
0.26800,-1.93999
0.29481,-1.89795
0.32161,-1.66993
0.34841,-1.81688
0.37521,-1.79533
0.40201,-1.76424
0.42881,-1.73791
